field_id,vh31,vv31
4400496,-24.475874221697573,-15.817961051887647
4400497,-21.112414035415373,-11.048196277976519
4400548,-23.730618391910667,-14.66142237928593
4400549,-22.858161785802736,-13.365603317239508
4400557,-24.422964999272644,-14.310936401799408
4400564,-22.452077941880383,-14.751298671496142
4400579,-19.46317167202564,-7.408358763036465
4400581,-20.897977498071544,-9.376059880335795
4404616,-20.721744587648715,-12.538721102677254
4400603,-23.421700824653747,-12.34845662402148
4400607,-22.26963687025161,-13.373844596419957
4400617,-20.747872898221434,-5.726632266725112
4400642,-20.22467496718208,-8.795194400674625
4400644,-17.46432664929132,-10.129611883877601
4405302,-19.94243892268171,-12.132119199830933
4405406,-18.518862132995537,-9.31932334887081
4400668,-17.78425953350271,-10.151818406505189
4400685,-23.96324965322366,-15.261960844854894
4400692,-16.805773544261285,-7.279862912489244
4400698,-24.250239755081697,-14.167484333344264
4400699,-21.756503579779626,-14.988463870418618
4400713,-22.072758094267652,-11.897767729758282
4400719,-25.17289875260279,-14.453223778398199
4400738,-20.519923384000865,-13.666657855407061
4405137,-21.551016242312855,-12.27477744648768
4400759,-18.034396381080597,-7.877820012282506
4400762,-20.58473496790163,-11.164231554548323
4400773,-20.376701333565386,-10.262545933283466
4400774,-22.77378070118795,-14.517070199610743
4400793,-15.098040360218478,-8.019469083892174
4404240,-21.024668638984515,-8.489391297987583
4400796,-17.840301913377314,-9.27415849722973
4400820,-24.653099655442297,-14.699917649071883
4400821,-24.7719394550215,-14.562921694544809
4400825,-22.415315056578745,-14.09690434667506
4400838,-21.00978939327444,-13.425526483377379
4400843,-19.250056035968548,-11.105276962439174
4400856,-24.094843115697454,-13.787152500925309
4404131,-22.82173713426949,-13.479235227260316
4400862,-18.205168465170868,-10.591061081610468
4400865,-21.977427075284492,-12.608315196594882
4400880,-23.389652440511966,-14.152409600512508
4405407,-19.66051462096276,-6.921275376830909
4400894,-21.014173304333056,-12.891016512216858
4400917,-24.368287518762102,-15.135710754804018
