15_Mar_only,15_Mar_only_n,20_31_Mar,20_31_Mar_n,20_Mar_only,20_Mar_only_n,25_Mar_only,25_Mar_only_n,pre,pre_n,unit_id
,0.0,0.36397598539433634,1.768912163770531,0.3532363479844772,0.7689121637705308,0.3726759404238421,1.0,0.31208958024958483,2.7407283980004755,4403769
0.2796193846156066,2.0,0.31019724548095345,4.0,0.309773382032322,2.0,0.30870147933081593,2.0,0.27293495647481847,8.0,4403708
,0.0,0.18806952548085676,4.0,0.1998251099370825,2.0,0.1826465864537441,2.0,0.15050594959066355,7.993987876378813,4403688
,0.0,0.3688111069502306,4.0,0.37774991822527454,2.0,0.35990354689835263,2.0,0.2885893663425054,6.0,4403677
,0.0,0.3523398537236627,4.0,0.38743175536245916,2.0,0.32523257421214596,2.0,0.34937194178102426,8.0,4403659
,0.0,0.6056492991877118,4.0,0.6174304697362679,2.0,0.5970760617674186,2.0,0.6358840578330878,6.6644508834725285,4403658
,0.0,0.42558629939624004,4.0,0.4373772334892153,2.0,0.4192883754117461,2.0,0.4287717499366221,6.0,4403643
0.19190925978844245,0.7930991778182943,0.2092681297171149,2.075537514190375,0.20151533037003752,1.0,0.21757526686168066,1.0,0.16647360756280244,3.0,4403635
,0.0,0.3872595875365144,4.0,0.41609063677772523,2.0,0.36595016186115786,2.0,0.44324758515327434,8.0,4403617
0.3609764278389332,0.7535173429384487,0.40609225582306424,4.0,0.4079328442996503,2.0,0.4043685749633681,2.0,0.45208885321647785,6.0,4403599
,0.0,0.4027180371218839,4.0,0.43123498990986164,2.0,0.3789140289935675,2.0,0.3939004713938051,8.0,4405110
,0.0,0.6245418280391278,4.0,0.6289161179709305,2.0,0.6230235079379159,2.0,0.6257583204220989,6.0,4403572
0.23407604620474054,1.9690534818428678,0.29824997071279125,4.0,0.2874227144891776,2.0,0.31118368195871277,2.0,0.25148085735288367,6.0,4405111
,0.0,0.5002428407247669,4.0,0.5290692838594485,2.0,0.4744165100196105,2.0,0.5232365582670485,8.0,4403523
0.2166452967368956,1.0,0.23690753112357446,2.4907480264994803,0.22634139568628034,1.0,0.2608606398323483,1.0,0.18622443681978487,3.0,4403518
,0.0,0.30730819752228433,4.0,0.31459142145038094,2.0,0.30203532247802556,2.0,0.2642771877915796,6.0,4403506
0.1660808921975445,0.029188669342661202,0.19486785968583017,2.5087595328640084,0.1856082767890763,1.0,0.2215588517092759,1.0,0.16049543756032292,3.0,4403500
,0.0,0.4986393300199665,4.0,0.5158037260049687,2.0,0.48306616713222394,2.0,0.5231674971943407,8.0,4403485
0.27291879556234105,2.0,0.30672542619744675,5.758266328417254,0.3002655359537927,2.0,0.31411111640331496,2.0,0.30659508380359596,6.0,4403476
,0.0,0.41818516049428256,4.0,0.4152890844687469,2.0,0.4187548054973459,2.0,0.3799240799640638,7.9026925698704815,4403465
,0.0,0.3782205740855451,4.0,0.392658296902064,2.0,0.37174452485074044,2.0,0.3349189459229592,8.0,4403459
0.29190490204574804,0.18691806331471134,0.33990412173083967,4.0,0.33548001799683885,2.0,0.34223447175156535,2.0,0.3041289182614551,7.296554934823091,4403454
